Data Periods,Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,dog-park-lot,no,N/A,no,0: All Days (M-Su),20: 7pm (7pm-8pm),53,2624,2624,1.3,1.3
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,dog-park-lot,no,N/A,no,0: All Days (M-Su),21: 8pm (8pm-9pm),51,2373,2373,1.2,1.2
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,dog-park-lot,no,N/A,no,0: All Days (M-Su),22: 9pm (9pm-10pm),10,2873,2873,1.8,1.8
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,dog-park-lot,no,N/A,no,0: All Days (M-Su),24: 11pm (11pm-12am),2,1144,1144,0.8,0.8
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,parking,no,N/A,no,0: All Days (M-Su),00: All Day (12am-12am),167,1359,1359,0.7,0.7
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,parking,no,N/A,no,0: All Days (M-Su),01: 12am (12am-1am),1,264,264,0.2,0.2
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,parking,no,N/A,no,0: All Days (M-Su),02: 1am (1am-2am),2,2159,2159,1.1,1.1
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,parking,no,N/A,no,0: All Days (M-Su),08: 7am (7am-8am),8,939,939,0.4,0.4
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,parking,no,N/A,no,0: All Days (M-Su),09: 8am (8am-9am),14,1681,1681,0.7,0.7
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,parking,no,N/A,no,0: All Days (M-Su),10: 9am (9am-10am),9,1980,1980,1.0,1.0
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,parking,no,N/A,no,0: All Days (M-Su),11: 10am (10am-11am),10,2228,2228,1.0,1.0
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,parking,no,N/A,no,0: All Days (M-Su),12: 11am (11am-12noon),2,2285,2285,1.1,1.1
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,parking,no,N/A,no,0: All Days (M-Su),13: 12pm (12noon-1pm),14,1394,1394,0.9,0.9
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,parking,no,N/A,no,0: All Days (M-Su),14: 1pm (1pm-2pm),11,1386,1386,0.7,0.7
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,parking,no,N/A,no,0: All Days (M-Su),15: 2pm (2pm-3pm),9,1582,1582,1.0,1.0
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,parking,no,N/A,no,0: All Days (M-Su),16: 3pm (3pm-4pm),14,994,994,0.7,0.7
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,parking,no,N/A,no,0: All Days (M-Su),17: 4pm (4pm-5pm),2,1221,1221,0.4,0.4
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,parking,no,N/A,no,0: All Days (M-Su),18: 5pm (5pm-6pm),14,1583,1583,0.7,0.7
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,parking,no,N/A,no,0: All Days (M-Su),19: 6pm (6pm-7pm),18,1181,1181,0.6,0.6
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,parking,no,N/A,no,0: All Days (M-Su),20: 7pm (7pm-8pm),17,1041,1041,0.6,0.6
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,parking,no,N/A,no,0: All Days (M-Su),21: 8pm (8pm-9pm),14,853,853,0.6,0.6
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,parking,no,N/A,no,0: All Days (M-Su),22: 9pm (9pm-10pm),3,758,758,0.1,0.1
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,parking,no,N/A,no,0: All Days (M-Su),23: 10pm (10pm-11pm),7,890,890,0.3,0.3
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,rec-center,no,N/A,no,0: All Days (M-Su),00: All Day (12am-12am),21,980,980,0.6,0.6
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,rec-center,no,N/A,no,0: All Days (M-Su),02: 1am (1am-2am),2,2276,2276,1.5,1.5
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,rec-center,no,N/A,no,0: All Days (M-Su),08: 7am (7am-8am),2,343,343,0.3,0.3
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,rec-center,no,N/A,no,0: All Days (M-Su),09: 8am (8am-9am),2,1188,1188,0.3,0.3
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,rec-center,no,N/A,no,0: All Days (M-Su),10: 9am (9am-10am),1,666,666,0.1,0.1
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,rec-center,no,N/A,no,0: All Days (M-Su),12: 11am (11am-12noon),1,512,512,0.4,0.4
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,rec-center,no,N/A,no,0: All Days (M-Su),13: 12pm (12noon-1pm),0,215,215,0.1,0.1
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,rec-center,no,N/A,no,0: All Days (M-Su),14: 1pm (1pm-2pm),2,182,182,0.1,0.1
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,rec-center,no,N/A,no,0: All Days (M-Su),15: 2pm (2pm-3pm),2,624,624,0.5,0.5
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,rec-center,no,N/A,no,0: All Days (M-Su),18: 5pm (5pm-6pm),2,464,464,0.4,0.4
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,rec-center,no,N/A,no,0: All Days (M-Su),19: 6pm (6pm-7pm),3,2362,2362,1.4,1.4
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,rec-center,no,N/A,no,0: All Days (M-Su),20: 7pm (7pm-8pm),2,1888,1888,1.2,1.2
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,rec-center,no,N/A,no,0: All Days (M-Su),22: 9pm (9pm-10pm),2,536,536,0.4,0.4
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,restroom,no,N/A,no,0: All Days (M-Su),00: All Day (12am-12am),74,1396,1396,0.6,0.6
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,restroom,no,N/A,no,0: All Days (M-Su),09: 8am (8am-9am),4,1508,1508,0.5,0.5
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,restroom,no,N/A,no,0: All Days (M-Su),10: 9am (9am-10am),1,1928,1928,2.4,2.4
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,restroom,no,N/A,no,0: All Days (M-Su),11: 10am (10am-11am),5,2109,2109,0.6,0.6
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,restroom,no,N/A,no,0: All Days (M-Su),12: 11am (11am-12noon),5,1481,1481,0.9,0.9
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,restroom,no,N/A,no,0: All Days (M-Su),13: 12pm (12noon-1pm),6,1471,1471,0.4,0.4
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,restroom,no,N/A,no,0: All Days (M-Su),14: 1pm (1pm-2pm),11,824,824,0.4,0.4
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,restroom,no,N/A,no,0: All Days (M-Su),15: 2pm (2pm-3pm),6,1337,1337,0.7,0.7
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,restroom,no,N/A,no,0: All Days (M-Su),16: 3pm (3pm-4pm),3,1498,1498,1.1,1.1
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,restroom,no,N/A,no,0: All Days (M-Su),17: 4pm (4pm-5pm),9,913,913,0.5,0.5
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,restroom,no,N/A,no,0: All Days (M-Su),18: 5pm (5pm-6pm),6,1470,1470,0.5,0.5
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,restroom,no,N/A,no,0: All Days (M-Su),19: 6pm (6pm-7pm),6,1500,1500,0.6,0.6
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,restroom,no,N/A,no,0: All Days (M-Su),20: 7pm (7pm-8pm),7,2070,2070,0.5,0.5
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,restroom,no,N/A,no,0: All Days (M-Su),21: 8pm (8pm-9pm),2,329,329,0.1,0.1
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,restroom,no,N/A,no,0: All Days (M-Su),22: 9pm (9pm-10pm),1,1585,1585,1.1,1.1
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip End,N/A,restroom,no,N/A,no,0: All Days (M-Su),23: 10pm (10pm-11pm),2,2044,2044,1.1,1.1
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip Pass-Through,N/A,dog-park-lot-pt,yes,N/A,no,0: All Days (M-Su),00: All Day (12am-12am),378,2555,2555,1.6,1.6
